Ref_Date,GEO,Geographical classification,DON,Vector,Coordinate,Value
2012,Prince Edward Island,,Percentage of persons in apartments,v16942806,4.2,1
2011,Prince Edward Island,,Number of persons with total income,v16942807,4.21,110320
2012,Prince Edward Island,,Number of persons with total income,v16942807,4.21,110150
2011,Prince Edward Island,,"Percentage of persons with total income $15,000 and over",v16942808,4.22,77
2012,Prince Edward Island,,"Percentage of persons with total income $15,000 and over",v16942808,4.22,78
2011,Prince Edward Island,,"Percentage of persons with total income $25,000 and over",v16942809,4.23,56
2012,Prince Edward Island,,"Percentage of persons with total income $25,000 and over",v16942809,4.23,58
2011,Prince Edward Island,,"Percentage of persons with total income $35,000 and over",v16942810,4.24,39
2012,Prince Edward Island,,"Percentage of persons with total income $35,000 and over",v16942810,4.24,41
2011,Prince Edward Island,,"Percentage of persons with total income $50,000 and over",v16942811,4.25,21
2012,Prince Edward Island,,"Percentage of persons with total income $50,000 and over",v16942811,4.25,22
2011,Prince Edward Island,,"Percentage of persons with total income $75,000 and over",v16942812,4.26,7
2012,Prince Edward Island,,"Percentage of persons with total income $75,000 and over",v16942812,4.26,8
2011,Prince Edward Island,,"Percentage of persons with total income $100,000 and over",v16942813,4.27,3
2012,Prince Edward Island,,"Percentage of persons with total income $100,000 and over",v16942813,4.27,3
2011,Prince Edward Island,,"Median total income, males (dollars)",v16942814,4.28,32230
2012,Prince Edward Island,,"Median total income, males (dollars)",v16942814,4.28,33870
2011,Prince Edward Island,,"Median total income, females (dollars)",v16942815,4.29,24680
2012,Prince Edward Island,,"Median total income, females (dollars)",v16942815,4.29,25540
2011,Prince Edward Island,,"Median total income, both sexes (dollars)",v16942816,4.3,28160
2012,Prince Edward Island,,"Median total income, both sexes (dollars)",v16942816,4.3,29310
2011,Prince Edward Island,,Canadian index of median total income,v16942817,4.31,93.3
2012,Prince Edward Island,,Canadian index of median total income,v16942817,4.31,93.6
2011,Prince Edward Island,,Provincial index of median total income,v16942818,4.32,100
2012,Prince Edward Island,,Provincial index of median total income,v16942818,4.32,100
2011,Prince Edward Island,,Number of persons reporting employment income and/or Employment Insurance,v16942820,4.34,84610
2012,Prince Edward Island,,Number of persons reporting employment income and/or Employment Insurance,v16942820,4.34,83960
2011,Prince Edward Island,,Percentage of females reporting employment income and/or Employment Insurance,v16942821,4.35,49
2012,Prince Edward Island,,Percentage of females reporting employment income and/or Employment Insurance,v16942821,4.35,50
2011,Prince Edward Island,,Percentage of persons with labour income receiving Employment Insurance,v16942822,4.36,30
2012,Prince Edward Island,,Percentage of persons with labour income receiving Employment Insurance,v16942822,4.36,30
2011,Prince Edward Island,,"Median employment income, males (dollars)",v16942823,4.37,26050
2012,Prince Edward Island,,"Median employment income, males (dollars)",v16942823,4.37,28150
2011,Prince Edward Island,,"Median employment income, females (dollars)",v16942824,4.38,21380
2012,Prince Edward Island,,"Median employment income, females (dollars)",v16942824,4.38,22430
2011,Prince Edward Island,,"Median employment income, both sexes (dollars)",v16942825,4.39,23540
2012,Prince Edward Island,,"Median employment income, both sexes (dollars)",v16942825,4.39,25050
2011,Prince Edward Island,,Number of persons reporting Canada Child Tax Benefits,v16942826,4.4,16920
2012,Prince Edward Island,,Number of persons reporting Canada Child Tax Benefits,v16942826,4.4,16450
2011,Prince Edward Island,,"Amount for persons reporting Canada Child Tax Benefits (Dollars) (dollars x 1,000)",v16942827,4.41,54935
2012,Prince Edward Island,,"Amount for persons reporting Canada Child Tax Benefits (Dollars) (dollars x 1,000)",v16942827,4.41,55100
2011,"Charlottetown, Prince Edward Island",11105,Number of taxfilers,v61485360,53.1,49670
2012,"Charlottetown, Prince Edward Island",11105,Number of taxfilers,v61485360,53.1,52130
2011,"Charlottetown, Prince Edward Island",11105,Percentage of taxfilers aged 0 to 24 years,v61485361,53.3,13
2012,"Charlottetown, Prince Edward Island",11105,Percentage of taxfilers aged 0 to 24 years,v61485361,53.3,13
2011,"Charlottetown, Prince Edward Island",11105,Percentage of taxfilers aged 25 to 44 years,v61485362,53.4,32
2012,"Charlottetown, Prince Edward Island",11105,Percentage of taxfilers aged 25 to 44 years,v61485362,53.4,31
2011,"Charlottetown, Prince Edward Island",11105,Percentage of taxfilers aged 45 to 64 years,v61485363,53.5,36
2012,"Charlottetown, Prince Edward Island",11105,Percentage of taxfilers aged 45 to 64 years,v61485363,53.5,36
2011,"Charlottetown, Prince Edward Island",11105,Percentage of taxfilers aged 65 years and over,v61485364,53.6,19
2012,"Charlottetown, Prince Edward Island",11105,Percentage of taxfilers aged 65 years and over,v61485364,53.6,20
2011,"Charlottetown, Prince Edward Island",11105,Average age of taxfilers (years),v61485365,53.7,48
2012,"Charlottetown, Prince Edward Island",11105,Average age of taxfilers (years),v61485365,53.7,48
2011,"Charlottetown, Prince Edward Island",11105,"Percentage of taxfilers, female",v61485366,53.8,54
2012,"Charlottetown, Prince Edward Island",11105,"Percentage of taxfilers, female",v61485366,53.8,53
2011,"Charlottetown, Prince Edward Island",11105,"Percentage of taxfilers, married",v61485367,53.9,51
2012,"Charlottetown, Prince Edward Island",11105,"Percentage of taxfilers, married",v61485367,53.9,52
2011,"Charlottetown, Prince Edward Island",11105,Percentage of taxfilers in apartments,v61485368,53.1,3
2012,"Charlottetown, Prince Edward Island",11105,Percentage of taxfilers in apartments,v61485368,53.1,2
2011,"Charlottetown, Prince Edward Island",11105,Number of persons,v61485369,53.11,62280
2012,"Charlottetown, Prince Edward Island",11105,Number of persons,v61485369,53.11,65340
2011,"Charlottetown, Prince Edward Island",11105,Percentage of persons aged 0 to 24 years,v61485370,53.13,30
2012,"Charlottetown, Prince Edward Island",11105,Percentage of persons aged 0 to 24 years,v61485370,53.13,30
2011,"Charlottetown, Prince Edward Island",11105,Percentage of persons aged 25 to 44 years,v61485371,53.14,25
2012,"Charlottetown, Prince Edward Island",11105,Percentage of persons aged 25 to 44 years,v61485371,53.14,25
2011,"Charlottetown, Prince Edward Island",11105,Percentage of persons aged 45 to 64 years,v61485372,53.15,29
2012,"Charlottetown, Prince Edward Island",11105,Percentage of persons aged 45 to 64 years,v61485372,53.15,29
2011,"Charlottetown, Prince Edward Island",11105,Percentage of persons aged 65 years and over,v61485373,53.16,15
2012,"Charlottetown, Prince Edward Island",11105,Percentage of persons aged 65 years and over,v61485373,53.16,16
2011,"Charlottetown, Prince Edward Island",11105,Average age of persons (years),v61485374,53.17,40
2012,"Charlottetown, Prince Edward Island",11105,Average age of persons (years),v61485374,53.17,40
2011,"Charlottetown, Prince Edward Island",11105,"Percentage of persons, female",v61485375,53.18,53
2012,"Charlottetown, Prince Edward Island",11105,"Percentage of persons, female",v61485375,53.18,53
2011,"Charlottetown, Prince Edward Island",11105,"Percentage of persons, married",v61485376,53.19,41
2012,"Charlottetown, Prince Edward Island",11105,"Percentage of persons, married",v61485376,53.19,42
2011,"Charlottetown, Prince Edward Island",11105,Percentage of persons in apartments,v61485377,53.2,2
2012,"Charlottetown, Prince Edward Island",11105,Percentage of persons in apartments,v61485377,53.2,2
2011,"Charlottetown, Prince Edward Island",11105,Number of persons with total income,v61485378,53.21,49260
2012,"Charlottetown, Prince Edward Island",11105,Number of persons with total income,v61485378,53.21,51680
2011,"Charlottetown, Prince Edward Island",11105,"Percentage of persons with total income $15,000 and over",v61485379,53.22,77
2012,"Charlottetown, Prince Edward Island",11105,"Percentage of persons with total income $15,000 and over",v61485379,53.22,78
2011,"Charlottetown, Prince Edward Island",11105,"Percentage of persons with total income $25,000 and over",v61485380,53.23,58
2012,"Charlottetown, Prince Edward Island",11105,"Percentage of persons with total income $25,000 and over",v61485380,53.23,59
2011,"Charlottetown, Prince Edward Island",11105,"Percentage of persons with total income $35,000 and over",v61485381,53.24,43
2012,"Charlottetown, Prince Edward Island",11105,"Percentage of persons with total income $35,000 and over",v61485381,53.24,44
2011,"Charlottetown, Prince Edward Island",11105,"Percentage of persons with total income $50,000 and over",v61485382,53.25,25
2012,"Charlottetown, Prince Edward Island",11105,"Percentage of persons with total income $50,000 and over",v61485382,53.25,26
2011,"Charlottetown, Prince Edward Island",11105,"Percentage of persons with total income $75,000 and over",v61485383,53.26,10
2012,"Charlottetown, Prince Edward Island",11105,"Percentage of persons with total income $75,000 and over",v61485383,53.26,10
2011,"Charlottetown, Prince Edward Island",11105,"Percentage of persons with total income $100,000 and over",v61485384,53.27,4
2012,"Charlottetown, Prince Edward Island",11105,"Percentage of persons with total income $100,000 and over",v61485384,53.27,5
2011,"Charlottetown, Prince Edward Island",11105,"Median total income, males (dollars)",v61485385,53.28,34750
2012,"Charlottetown, Prince Edward Island",11105,"Median total income, males (dollars)",v61485385,53.28,35700
2011,"Charlottetown, Prince Edward Island",11105,"Median total income, females (dollars)",v61485386,53.29,26520
2012,"Charlottetown, Prince Edward Island",11105,"Median total income, females (dollars)",v61485386,53.29,27250
2011,"Charlottetown, Prince Edward Island",11105,"Median total income, both sexes (dollars)",v61485387,53.3,30110
2012,"Charlottetown, Prince Edward Island",11105,"Median total income, both sexes (dollars)",v61485387,53.3,30950
2011,"Charlottetown, Prince Edward Island",11105,Canadian index of median total income,v61485388,53.31,99.8
2012,"Charlottetown, Prince Edward Island",11105,Canadian index of median total income,v61485388,53.31,98.8
2011,"Charlottetown, Prince Edward Island",11105,Provincial index of median total income,v61485389,53.32,106.9
2012,"Charlottetown, Prince Edward Island",11105,Provincial index of median total income,v61485389,53.32,105.6
2011,"Charlottetown, Prince Edward Island",11105,Number of persons reporting employment income and/or Employment Insurance,v61485390,53.34,37590
2012,"Charlottetown, Prince Edward Island",11105,Number of persons reporting employment income and/or Employment Insurance,v61485390,53.34,39330
2011,"Charlottetown, Prince Edward Island",11105,Percentage of females reporting employment income and/or Employment Insurance,v61485391,53.35,51
2012,"Charlottetown, Prince Edward Island",11105,Percentage of females reporting employment income and/or Employment Insurance,v61485391,53.35,50
2011,"Charlottetown, Prince Edward Island",11105,Percentage of persons with labour income receiving Employment Insurance,v61485392,53.36,20
2012,"Charlottetown, Prince Edward Island",11105,Percentage of persons with labour income receiving Employment Insurance,v61485392,53.36,20
2011,"Charlottetown, Prince Edward Island",11105,"Median employment income, males (dollars)",v61485393,53.37,30100
2012,"Charlottetown, Prince Edward Island",11105,"Median employment income, males (dollars)",v61485393,53.37,31080
2011,"Charlottetown, Prince Edward Island",11105,"Median employment income, females (dollars)",v61485394,53.38,24950
2012,"Charlottetown, Prince Edward Island",11105,"Median employment income, females (dollars)",v61485394,53.38,25400
2011,"Charlottetown, Prince Edward Island",11105,"Median employment income, both sexes (dollars)",v61485395,53.39,27350
2012,"Charlottetown, Prince Edward Island",11105,"Median employment income, both sexes (dollars)",v61485395,53.39,28010
2011,"Charlottetown, Prince Edward Island",11105,Number of persons reporting Canada Child Tax Benefits,v61485396,53.4,7440
2012,"Charlottetown, Prince Edward Island",11105,Number of persons reporting Canada Child Tax Benefits,v61485396,53.4,7620
2011,"Charlottetown, Prince Edward Island",11105,"Amount for persons reporting Canada Child Tax Benefits (Dollars) (dollars x 1,000)",v61485397,53.41,22925
2012,"Charlottetown, Prince Edward Island",11105,"Amount for persons reporting Canada Child Tax Benefits (Dollars) (dollars x 1,000)",v61485397,53.41,24365
2011,"Summerside, Prince Edward Island",11110,Number of taxfilers,v61485398,54.1,15040
2012,"Summerside, Prince Edward Island",11110,Number of taxfilers,v61485398,54.1,15040
2011,"Summerside, Prince Edward Island",11110,Percentage of taxfilers aged 0 to 24 years,v61485399,54.3,12
2012,"Summerside, Prince Edward Island",11110,Percentage of taxfilers aged 0 to 24 years,v61485399,54.3,12
2011,"Summerside, Prince Edward Island",11110,Percentage of taxfilers aged 25 to 44 years,v61485400,54.4,29
2012,"Summerside, Prince Edward Island",11110,Percentage of taxfilers aged 25 to 44 years,v61485400,54.4,28
2011,"Summerside, Prince Edward Island",11110,Percentage of taxfilers aged 45 to 64 years,v61485401,54.5,37
2012,"Summerside, Prince Edward Island",11110,Percentage of taxfilers aged 45 to 64 years,v61485401,54.5,37
2011,"Summerside, Prince Edward Island",11110,Percentage of taxfilers aged 65 years and over,v61485402,54.6,22
2012,"Summerside, Prince Edward Island",11110,Percentage of taxfilers aged 65 years and over,v61485402,54.6,23
2011,"Summerside, Prince Edward Island",11110,Average age of taxfilers (years),v61485403,54.7,49
2012,"Summerside, Prince Edward Island",11110,Average age of taxfilers (years),v61485403,54.7,50
2011,"Summerside, Prince Edward Island",11110,"Percentage of taxfilers, female",v61485404,54.8,53
2012,"Summerside, Prince Edward Island",11110,"Percentage of taxfilers, female",v61485404,54.8,53
2011,"Summerside, Prince Edward Island",11110,"Percentage of taxfilers, married",v61485405,54.9,51
2012,"Summerside, Prince Edward Island",11110,"Percentage of taxfilers, married",v61485405,54.9,51
2011,"Summerside, Prince Edward Island",11110,Percentage of taxfilers in apartments,v61485406,54.1,2
2012,"Summerside, Prince Edward Island",11110,Percentage of taxfilers in apartments,v61485406,54.1,2
2011,"Summerside, Prince Edward Island",11110,Number of persons,v61485407,54.11,18930
2012,"Summerside, Prince Edward Island",11110,Number of persons,v61485407,54.11,18940
2011,"Summerside, Prince Edward Island",11110,Percentage of persons aged 0 to 24 years,v61485408,54.13,30
2012,"Summerside, Prince Edward Island",11110,Percentage of persons aged 0 to 24 years,v61485408,54.13,29
2011,"Summerside, Prince Edward Island",11110,Percentage of persons aged 25 to 44 years,v61485409,54.14,23
2012,"Summerside, Prince Edward Island",11110,Percentage of persons aged 25 to 44 years,v61485409,54.14,23
2011,"Summerside, Prince Edward Island",11110,Percentage of persons aged 45 to 64 years,v61485410,54.15,30
2012,"Summerside, Prince Edward Island",11110,Percentage of persons aged 45 to 64 years,v61485410,54.15,30
2011,"Summerside, Prince Edward Island",11110,Percentage of persons aged 65 years and over,v61485411,54.16,18
2012,"Summerside, Prince Edward Island",11110,Percentage of persons aged 65 years and over,v61485411,54.16,18
2011,"Summerside, Prince Edward Island",11110,Average age of persons (years),v61485412,54.17,41
2012,"Summerside, Prince Edward Island",11110,Average age of persons (years),v61485412,54.17,41
2011,"Summerside, Prince Edward Island",11110,"Percentage of persons, female",v61485413,54.18,52
2012,"Summerside, Prince Edward Island",11110,"Percentage of persons, female",v61485413,54.18,52
2011,"Summerside, Prince Edward Island",11110,"Percentage of persons, married",v61485414,54.19,41
2012,"Summerside, Prince Edward Island",11110,"Percentage of persons, married",v61485414,54.19,41
2011,"Summerside, Prince Edward Island",11110,Percentage of persons in apartments,v61485415,54.2,2
2012,"Summerside, Prince Edward Island",11110,Percentage of persons in apartments,v61485415,54.2,2
2011,"Summerside, Prince Edward Island",11110,Number of persons with total income,v61485416,54.21,14940
2012,"Summerside, Prince Edward Island",11110,Number of persons with total income,v61485416,54.21,14920
2011,"Summerside, Prince Edward Island",11110,"Percentage of persons with total income $15,000 and over",v61485417,54.22,77
2012,"Summerside, Prince Edward Island",11110,"Percentage of persons with total income $15,000 and over",v61485417,54.22,78
2011,"Summerside, Prince Edward Island",11110,"Percentage of persons with total income $25,000 and over",v61485418,54.23,54
2012,"Summerside, Prince Edward Island",11110,"Percentage of persons with total income $25,000 and over",v61485418,54.23,56
2011,"Summerside, Prince Edward Island",11110,"Percentage of persons with total income $35,000 and over",v61485419,54.24,38
2012,"Summerside, Prince Edward Island",11110,"Percentage of persons with total income $35,000 and over",v61485419,54.24,39
2011,"Summerside, Prince Edward Island",11110,"Percentage of persons with total income $50,000 and over",v61485420,54.25,19
2012,"Summerside, Prince Edward Island",11110,"Percentage of persons with total income $50,000 and over",v61485420,54.25,20
2011,"Summerside, Prince Edward Island",11110,"Percentage of persons with total income $75,000 and over",v61485421,54.26,6
2012,"Summerside, Prince Edward Island",11110,"Percentage of persons with total income $75,000 and over",v61485421,54.26,7
2011,"Summerside, Prince Edward Island",11110,"Percentage of persons with total income $100,000 and over",v61485422,54.27,2
2012,"Summerside, Prince Edward Island",11110,"Percentage of persons with total income $100,000 and over",v61485422,54.27,3
2011,"Summerside, Prince Edward Island",11110,"Median total income, males (dollars)",v61485423,54.28,32530
2012,"Summerside, Prince Edward Island",11110,"Median total income, males (dollars)",v61485423,54.28,33650
2011,"Summerside, Prince Edward Island",11110,"Median total income, females (dollars)",v61485424,54.29,23430
2012,"Summerside, Prince Edward Island",11110,"Median total income, females (dollars)",v61485424,54.29,24220
2011,"Summerside, Prince Edward Island",11110,"Median total income, both sexes (dollars)",v61485425,54.3,27250
2012,"Summerside, Prince Edward Island",11110,"Median total income, both sexes (dollars)",v61485425,54.3,28220
2011,"Summerside, Prince Edward Island",11110,Canadian index of median total income,v61485426,54.31,90.3
2012,"Summerside, Prince Edward Island",11110,Canadian index of median total income,v61485426,54.31,90.1
2011,"Summerside, Prince Edward Island",11110,Provincial index of median total income,v61485427,54.32,96.8
2012,"Summerside, Prince Edward Island",11110,Provincial index of median total income,v61485427,54.32,96.3
2011,"Summerside, Prince Edward Island",11110,Number of persons reporting employment income and/or Employment Insurance,v61485428,54.34,11050
2012,"Summerside, Prince Edward Island",11110,Number of persons reporting employment income and/or Employment Insurance,v61485428,54.34,10920
2011,"Summerside, Prince Edward Island",11110,Percentage of females reporting employment income and/or Employment Insurance,v61485429,54.35,50
2012,"Summerside, Prince Edward Island",11110,Percentage of females reporting employment income and/or Employment Insurance,v61485429,54.35,50
2011,"Summerside, Prince Edward Island",11110,Percentage of persons with labour income receiving Employment Insurance,v61485430,54.36,27
2012,"Summerside, Prince Edward Island",11110,Percentage of persons with labour income receiving Employment Insurance,v61485430,54.36,27
2011,"Summerside, Prince Edward Island",11110,"Median employment income, males (dollars)",v61485431,54.37,28500
2012,"Summerside, Prince Edward Island",11110,"Median employment income, males (dollars)",v61485431,54.37,29880
2011,"Summerside, Prince Edward Island",11110,"Median employment income, females (dollars)",v61485432,54.38,21500
2012,"Summerside, Prince Edward Island",11110,"Median employment income, females (dollars)",v61485432,54.38,22380
2011,"Summerside, Prince Edward Island",11110,"Median employment income, both sexes (dollars)",v61485433,54.39,24380
2012,"Summerside, Prince Edward Island",11110,"Median employment income, both sexes (dollars)",v61485433,54.39,25680
2011,"Summerside, Prince Edward Island",11110,Number of persons reporting Canada Child Tax Benefits,v61485434,54.4,2300
2012,"Summerside, Prince Edward Island",11110,Number of persons reporting Canada Child Tax Benefits,v61485434,54.4,2250
2011,"Summerside, Prince Edward Island",11110,"Amount for persons reporting Canada Child Tax Benefits (Dollars) (dollars x 1,000)",v61485435,54.41,7975
2012,"Summerside, Prince Edward Island",11110,"Amount for persons reporting Canada Child Tax Benefits (Dollars) (dollars x 1,000)",v61485435,54.41,8070
2011,"Non CMA-CA, Prince Edward Island",11100,Number of taxfilers,v61485436,55.1,46410
2012,"Non CMA-CA, Prince Edward Island",11100,Number of taxfilers,v61485436,55.1,43860
2011,"Non CMA-CA, Prince Edward Island",11100,Percentage of taxfilers aged 0 to 24 years,v61485437,55.3,13
2012,"Non CMA-CA, Prince Edward Island",11100,Percentage of taxfilers aged 0 to 24 years,v61485437,55.3,13
2011,"Non CMA-CA, Prince Edward Island",11100,Percentage of taxfilers aged 25 to 44 years,v61485438,55.4,28
2012,"Non CMA-CA, Prince Edward Island",11100,Percentage of taxfilers aged 25 to 44 years,v61485438,55.4,27
2011,"Non CMA-CA, Prince Edward Island",11100,Percentage of taxfilers aged 45 to 64 years,v61485439,55.5,38
2012,"Non CMA-CA, Prince Edward Island",11100,Percentage of taxfilers aged 45 to 64 years,v61485439,55.5,38
2011,"Non CMA-CA, Prince Edward Island",11100,Percentage of taxfilers aged 65 years and over,v61485440,55.6,21
2012,"Non CMA-CA, Prince Edward Island",11100,Percentage of taxfilers aged 65 years and over,v61485440,55.6,22
2011,"Non CMA-CA, Prince Edward Island",11100,Average age of taxfilers (years),v61485441,55.7,49
2012,"Non CMA-CA, Prince Edward Island",11100,Average age of taxfilers (years),v61485441,55.7,49
2011,"Non CMA-CA, Prince Edward Island",11100,"Percentage of taxfilers, female",v61485442,55.8,51
2012,"Non CMA-CA, Prince Edward Island",11100,"Percentage of taxfilers, female",v61485442,55.8,51
2011,"Non CMA-CA, Prince Edward Island",11100,"Percentage of taxfilers, married",v61485443,55.9,55
2012,"Non CMA-CA, Prince Edward Island",11100,"Percentage of taxfilers, married",v61485443,55.9,55
2011,"Non CMA-CA, Prince Edward Island",11100,Percentage of taxfilers in apartments,v61485444,55.1,x
2012,"Non CMA-CA, Prince Edward Island",11100,Percentage of taxfilers in apartments,v61485444,55.1,x
2011,"Non CMA-CA, Prince Edward Island",11100,Number of persons,v61485445,55.11,58200
2012,"Non CMA-CA, Prince Edward Island",11100,Number of persons,v61485445,55.11,54740
2011,"Non CMA-CA, Prince Edward Island",11100,Percentage of persons aged 0 to 24 years,v61485446,55.13,30
2012,"Non CMA-CA, Prince Edward Island",11100,Percentage of persons aged 0 to 24 years,v61485446,55.13,30
2011,"Non CMA-CA, Prince Edward Island",11100,Percentage of persons aged 25 to 44 years,v61485447,55.14,22
2012,"Non CMA-CA, Prince Edward Island",11100,Percentage of persons aged 25 to 44 years,v61485447,55.14,22
2011,"Non CMA-CA, Prince Edward Island",11100,Percentage of persons aged 45 to 64 years,v61485448,55.15,31
2012,"Non CMA-CA, Prince Edward Island",11100,Percentage of persons aged 45 to 64 years,v61485448,55.15,31
2011,"Non CMA-CA, Prince Edward Island",11100,Percentage of persons aged 65 years and over,v61485449,55.16,17
2012,"Non CMA-CA, Prince Edward Island",11100,Percentage of persons aged 65 years and over,v61485449,55.16,18
2011,"Non CMA-CA, Prince Edward Island",11100,Average age of persons (years),v61485450,55.17,41
2012,"Non CMA-CA, Prince Edward Island",11100,Average age of persons (years),v61485450,55.17,41
2011,"Non CMA-CA, Prince Edward Island",11100,"Percentage of persons, female",v61485451,55.18,51
2012,"Non CMA-CA, Prince Edward Island",11100,"Percentage of persons, female",v61485451,55.18,51
2011,"Non CMA-CA, Prince Edward Island",11100,"Percentage of persons, married",v61485452,55.19,44
2012,"Non CMA-CA, Prince Edward Island",11100,"Percentage of persons, married",v61485452,55.19,44
2011,"Non CMA-CA, Prince Edward Island",11100,Percentage of persons in apartments,v61485453,55.2,x
2012,"Non CMA-CA, Prince Edward Island",11100,Percentage of persons in apartments,v61485453,55.2,x
2011,"Non CMA-CA, Prince Edward Island",11100,Number of persons with total income,v61485454,55.21,46120
2012,"Non CMA-CA, Prince Edward Island",11100,Number of persons with total income,v61485454,55.21,43560
2011,"Non CMA-CA, Prince Edward Island",11100,"Percentage of persons with total income $15,000 and over",v61485455,55.22,77
2012,"Non CMA-CA, Prince Edward Island",11100,"Percentage of persons with total income $15,000 and over",v61485455,55.22,79
2011,"Non CMA-CA, Prince Edward Island",11100,"Percentage of persons with total income $25,000 and over",v61485456,55.23,54
2012,"Non CMA-CA, Prince Edward Island",11100,"Percentage of persons with total income $25,000 and over",v61485456,55.23,56
2011,"Non CMA-CA, Prince Edward Island",11100,"Percentage of persons with total income $35,000 and over",v61485457,55.24,35
2012,"Non CMA-CA, Prince Edward Island",11100,"Percentage of persons with total income $35,000 and over",v61485457,55.24,38
2011,"Non CMA-CA, Prince Edward Island",11100,"Percentage of persons with total income $50,000 and over",v61485458,55.25,16
2012,"Non CMA-CA, Prince Edward Island",11100,"Percentage of persons with total income $50,000 and over",v61485458,55.25,19
2011,"Non CMA-CA, Prince Edward Island",11100,"Percentage of persons with total income $75,000 and over",v61485459,55.26,5
2012,"Non CMA-CA, Prince Edward Island",11100,"Percentage of persons with total income $75,000 and over",v61485459,55.26,6
2011,"Non CMA-CA, Prince Edward Island",11100,"Percentage of persons with total income $100,000 and over",v61485460,55.27,2
2012,"Non CMA-CA, Prince Edward Island",11100,"Percentage of persons with total income $100,000 and over",v61485460,55.27,2
2011,"Non CMA-CA, Prince Edward Island",11100,"Median total income, males (dollars)",v61485461,55.28,30430
2012,"Non CMA-CA, Prince Edward Island",11100,"Median total income, males (dollars)",v61485461,55.28,32310
2011,"Non CMA-CA, Prince Edward Island",11100,"Median total income, females (dollars)",v61485462,55.29,23270
2012,"Non CMA-CA, Prince Edward Island",11100,"Median total income, females (dollars)",v61485462,55.29,24230
2011,"Non CMA-CA, Prince Edward Island",11100,"Median total income, both sexes (dollars)",v61485463,55.3,26770
2012,"Non CMA-CA, Prince Edward Island",11100,"Median total income, both sexes (dollars)",v61485463,55.3,28040
2011,"Non CMA-CA, Prince Edward Island",11100,Canadian index of median total income,v61485464,55.31,88.7
2012,"Non CMA-CA, Prince Edward Island",11100,Canadian index of median total income,v61485464,55.31,89.5
2011,"Non CMA-CA, Prince Edward Island",11100,Provincial index of median total income,v61485465,55.32,95.1
2012,"Non CMA-CA, Prince Edward Island",11100,Provincial index of median total income,v61485465,55.32,95.7
2011,"Non CMA-CA, Prince Edward Island",11100,Number of persons reporting employment income and/or Employment Insurance,v61485466,55.34,35970
2012,"Non CMA-CA, Prince Edward Island",11100,Number of persons reporting employment income and/or Employment Insurance,v61485466,55.34,33710
2011,"Non CMA-CA, Prince Edward Island",11100,Percentage of females reporting employment income and/or Employment Insurance,v61485467,55.35,48
2012,"Non CMA-CA, Prince Edward Island",11100,Percentage of females reporting employment income and/or Employment Insurance,v61485467,55.35,48
2011,"Non CMA-CA, Prince Edward Island",11100,Percentage of persons with labour income receiving Employment Insurance,v61485468,55.36,41
2012,"Non CMA-CA, Prince Edward Island",11100,Percentage of persons with labour income receiving Employment Insurance,v61485468,55.36,41
2011,"Non CMA-CA, Prince Edward Island",11100,"Median employment income, males (dollars)",v61485469,55.37,22180
2012,"Non CMA-CA, Prince Edward Island",11100,"Median employment income, males (dollars)",v61485469,55.37,24770
2011,"Non CMA-CA, Prince Edward Island",11100,"Median employment income, females (dollars)",v61485470,55.38,18040
2012,"Non CMA-CA, Prince Edward Island",11100,"Median employment income, females (dollars)",v61485470,55.38,19370
2011,"Non CMA-CA, Prince Edward Island",11100,"Median employment income, both sexes (dollars)",v61485471,55.39,20110
2012,"Non CMA-CA, Prince Edward Island",11100,"Median employment income, both sexes (dollars)",v61485471,55.39,21930
2011,"Non CMA-CA, Prince Edward Island",11100,Number of persons reporting Canada Child Tax Benefits,v61485472,55.4,7180
2012,"Non CMA-CA, Prince Edward Island",11100,Number of persons reporting Canada Child Tax Benefits,v61485472,55.4,6590
2011,"Non CMA-CA, Prince Edward Island",11100,"Amount for persons reporting Canada Child Tax Benefits (Dollars) (dollars x 1,000)",v61485473,55.41,24030
2012,"Non CMA-CA, Prince Edward Island",11100,"Amount for persons reporting Canada Child Tax Benefits (Dollars) (dollars x 1,000)",v61485473,55.41,22670
2011,Nova Scotia,,Number of taxfilers,v16942828,5.1,724310
2012,Nova Scotia,,Number of taxfilers,v16942828,5.1,722880
2011,Nova Scotia,,Percentage of taxfilers aged 0 to 24 years,v16942830,5.3,12
2012,Nova Scotia,,Percentage of taxfilers aged 0 to 24 years,v16942830,5.3,11
2011,Nova Scotia,,Percentage of taxfilers aged 25 to 44 years,v16942831,5.4,30
2012,Nova Scotia,,Percentage of taxfilers aged 25 to 44 years,v16942831,5.4,29
2011,Nova Scotia,,Percentage of taxfilers aged 45 to 64 years,v16942832,5.5,38
2012,Nova Scotia,,Percentage of taxfilers aged 45 to 64 years,v16942832,5.5,37
2011,Nova Scotia,,Percentage of taxfilers aged 65 years and over,v16942833,5.6,21
2012,Nova Scotia,,Percentage of taxfilers aged 65 years and over,v16942833,5.6,22
2011,Nova Scotia,,Average age of taxfilers (years),v16942834,5.7,49
2012,Nova Scotia,,Average age of taxfilers (years),v16942834,5.7,49
2011,Nova Scotia,,"Percentage of taxfilers, female",v16942835,5.8,52
2012,Nova Scotia,,"Percentage of taxfilers, female",v16942835,5.8,53
2011,Nova Scotia,,"Percentage of taxfilers, married",v16942836,5.9,49
2012,Nova Scotia,,"Percentage of taxfilers, married",v16942836,5.9,49
